week_date,Sales,Promotion_Flag,Discount,Quantity,Year,Week_of_Year,Month,Quarter,week_sin,week_cos,lag_1,lag_2,lag_4,lag_12,roll_mean_4,roll_mean_12
2011-06-27,4935.814562405148,0.5597222222222222,0.1821527777777778,90,2011,26,6,2,-3.216245299353273e-16,-1.0,8497.421687215441,7139.629249620589,3060.903468418015,139.5,6461.572606012868,3734.350799309222
2011-07-04,3121.0504,0.7685185185185185,0.2025925925925925,52,2011,27,7,3,-0.1205366802553228,-0.992708874098054,4935.814562405148,8497.421687215441,5273.424924810294,1388.9405812025736,5923.478974810294,3878.693284209008
2011-07-11,3350.808906012868,0.3787878787878787,0.1015151515151515,70,2011,28,7,3,-0.2393156642875574,-0.970941817426052,3121.0504,4935.814562405148,7139.629249620589,3075.340343607721,4976.273888908364,3901.64899774277
2011-07-18,3757.037068418015,0.6333333333333333,0.149,80,2011,29,7,3,-0.3546048870425356,-0.9350162426854148,3350.808906012868,3121.0504,8497.421687215441,1440.7497436077208,3791.177734209007,4094.672941476961
2011-07-25,3185.186124810294,0.4769230769230769,0.1276923076923077,87,2011,30,7,3,-0.464723172043768,-0.8854560256532101,3757.037068418015,3350.808906012868,4935.814562405148,1990.9401624051472,3353.520624810294,4194.193438344057
2011-08-01,6591.130149620589,0.5071428571428571,0.1382142857142857,113,2011,31,8,3,-0.5680647467311556,-0.8229838658936566,3185.186124810294,3757.037068418015,3121.0504,3361.4986436077206,4221.040562215441,4463.329397178462
2011-08-08,5407.519324810294,0.4384615384615384,0.0751923076923077,93,2011,32,8,3,-0.663122658240795,-0.7485107481711013,6591.130149620589,3185.186124810294,3350.808906012868,2072.904581202574,4735.218166914798,4741.213959145772
2011-08-15,9347.394055633456,0.323249299719888,0.0904201680672268,176,2011,33,8,3,-0.7485107481711011,-0.6631226582407952,5407.519324810294,6591.130149620589,3757.037068418015,2574.6416436077207,6132.807413718658,5305.60999348125
2011-08-22,5374.678968418016,0.3028138528138528,0.0537770562770562,110,2011,34,8,3,-0.8229838658936564,-0.5680647467311559,9347.394055633456,5407.519324810294,3185.186124810294,3060.903468418015,6680.180624620589,5498.42461848125
2011-08-29,7052.042043607721,0.5670995670995671,0.1717748917748917,104,2011,35,8,3,-0.8854560256532096,-0.4647231720437691,5374.678968418016,9347.394055633456,6591.130149620589,5273.424924810294,6795.408598117372,5646.6427117143685
