week_date,Sales,Promotion_Flag,Discount,Quantity,Year,Week_of_Year,Month,Quarter,week_sin,week_cos,lag_1,lag_2,lag_4,lag_12,roll_mean_4,roll_mean_12
2011-06-20,10766.462162405149,0.3076190476190475,0.0820380952380952,370,2011,25,6,2,0.120536680255323,-0.992708874098054,8156.196081202574,10840.64194360772,5165.189762405147,1019.0035812025736,9395.114337405148,6123.172948871385
2011-06-27,7003.401462405147,0.4236694677871148,0.1020378151260504,327,2011,26,6,2,-3.216245299353273e-16,-1.0,10766.462162405149,8156.196081202574,7817.157162405148,3654.515162405147,9191.675412405148,6402.246807204719
2011-07-04,4838.681762405147,0.3448275862068966,0.0992528735632183,227,2011,27,7,3,-0.1205366802553228,-0.992708874098054,7003.401462405147,10766.462162405149,10840.64194360772,2351.0060000000003,7691.185367104504,6609.553120738481
2011-07-11,5067.634181202574,0.3267857142857143,0.1003571428571428,268,2011,28,7,3,-0.2393156642875574,-0.970941817426052,4838.681762405147,7003.401462405147,8156.196081202574,4668.008581202574,6919.044892104504,6642.855254071813
2011-07-18,6499.967081202574,0.3105734767025089,0.0952329749103942,261,2011,29,7,3,-0.3546048870425356,-0.9350162426854148,5067.634181202574,4838.681762405147,10766.462162405149,3980.4565812025735,5852.42112180386,6852.8144624051465
2011-07-25,6167.246524810294,0.324074074074074,0.0924166666666666,244,2011,30,7,3,-0.464723172043768,-0.8854560256532101,6499.967081202574,5067.634181202574,7003.401462405147,5409.62,5643.382387405148,6915.950006139338
2011-08-01,10623.891662405147,0.2574197120708748,0.0640033222591362,427,2011,31,8,3,-0.5680647467311556,-0.8229838658936566,6167.246524810294,6499.967081202574,4838.681762405147,5014.965424810294,7089.684862405147,7383.360525938909
2011-08-08,8470.839162405147,0.1401234567901234,0.0273456790123456,343,2011,32,8,3,-0.663122658240795,-0.7485107481711013,10623.891662405147,6167.246524810294,5067.634181202574,5653.856524810294,7940.48610770579,7618.109079071813
2011-08-15,10671.82234360772,0.3561529933481153,0.1002439024390244,371,2011,33,8,3,-0.7485107481711011,-0.6631226582407952,8470.839162405147,10623.891662405147,6499.967081202574,5165.189762405147,8983.449923307078,8076.995127505362
2011-08-22,7494.029543607721,0.3266149870801033,0.1010981912144702,403,2011,34,8,3,-0.8229838658936564,-0.5680647467311559,10671.82234360772,8470.839162405147,6167.246524810294,7817.157162405148,9315.145678006433,8050.06782593891
